111.3,14.03,46.72,86.0,20.65
111.25,12.45,47.07,142.23,54.49
108.54,12.47,55.89,119.8,71.43
74.95,14.06,50.87,80.43,60.17
82.38,13.99,54.43,120.01,65.91
76.39,12.92,44.51,134.9,49.12
101.34,12.43,30.03,149.93,78.48
83.89,13.21,59.98,101.41,44.27
118.47,13.44,56.42,118.66,23.33
75.92,12.83,38.39,119.87,42.51
93.83,13.04,36.78,138.74,56.93
85.55,12.94,59.78,135.4,30.72
89.71,14.4,39.73,94.28,43.08
115.94,14.62,53.21,93.98,46.73
117.33,13.95,51.44,127.47,26.33
77.26,12.4,44.59,100.22,62.06
84.79,14.44,51.84,93.05,21.39
98.08,13.39,55.24,86.46,73.64
75.21,14.12,37.02,139.49,37.83
86.74,14.57,48.04,115.72,23.31
105.21,13.34,43.08,86.68,36.83
98.99,12.23,45.49,114.65,33.19
107.55,13.96,40.99,146.52,64.93
75.66,13.98,59.76,88.75,45.3
85.14,13.11,57.81,123.15,73.17
70.42,14.08,36.49,103.41,71.97
72.47,14.08,46.53,102.28,50.66
101.12,14.15,33.19,128.91,47.64
98.21,13.12,41.5,109.36,30.96
87.43,13.27,30.48,112.61,35.71
114.51,13.13,33.69,113.73,68.29
118.47,13.95,42.87,143.12,40.11
115.71,12.57,38.58,119.55,30.17
84.22,14.69,45.6,95.79,65.7
89.59,12.34,52.13,133.67,70.11
114.13,12.76,54.31,86.86,55.12
114.71,14.66,33.5,98.13,53.01
94.03,12.59,38.47,148.58,75.11
80.56,12.57,59.31,105.27,35.75
87.7,13.31,37.43,107.92,75.12
92.65,12.07,41.53,82.17,76.45
114.96,14.15,53.16,131.13,65.22
116.6,12.22,42.27,125.06,72.62
106.28,12.87,44.0,144.25,75.27
116.22,12.45,39.87,118.54,23.32
115.2,13.13,46.15,122.09,32.19
110.31,14.35,31.89,135.76,72.89
94.74,12.7,37.9,122.27,56.07
70.18,13.67,40.91,96.12,72.79
103.51,13.71,50.93,126.55,35.29
109.07,13.03,31.84,129.05,39.63
104.48,14.84,30.95,117.43,72.12
85.8,12.02,30.52,102.47,65.11
72.74,14.52,35.71,148.57,78.72
97.96,14.23,33.32,91.1,32.16
80.3,14.56,55.76,80.79,45.37
113.76,13.73,34.25,115.76,55.83
118.75,12.86,48.89,132.85,61.9
94.72,12.36,42.23,133.97,45.71
78.63,12.88,56.61,109.31,33.36
102.06,12.14,45.66,128.78,65.53
117.67,14.51,47.44,148.36,50.87
71.57,13.23,46.23,89.06,25.27
88.4,13.69,40.94,102.72,63.66
87.91,12.8,39.51,135.97,31.53
103.43,12.73,39.56,88.37,36.51
72.77,14.61,49.31,115.35,78.37
91.3,12.66,58.92,80.42,74.61
92.98,12.02,47.05,116.18,26.44
91.48,12.37,34.14,127.88,61.65
84.85,13.58,35.4,129.12,30.19
78.85,14.79,44.59,148.03,74.81
97.02,14.12,53.66,85.71,32.9
112.92,13.93,30.56,92.35,45.78
116.02,14.12,49.38,119.1,28.27
106.13,12.07,38.54,97.49,59.91
103.62,13.15,52.87,82.61,40.61
86.77,14.68,52.4,106.2,21.94
85.92,14.61,45.55,149.58,66.6
85.1,14.25,34.71,118.69,58.54
106.72,13.59,44.08,133.07,74.42
116.02,12.22,32.22,91.55,26.24
